Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
muz-yg18-brc-011,Bracelet yellow gold PL143,"<p>Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-YG18-BRC-011,100,shopify,1,deny,manual,6000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL143_75rvzfe81p9_2025-05-30-10-28-38.jpg,1,MUZEM Bracelet yellow gold PL143 - Colombian Emerald Natural in 18k Yellow Gold,FALSE,Bracelet yellow gold PL143 | Muzem Emeralds Colombia,Shop Bracelet yellow gold PL143 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-BRC-011,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Natural,Colombian,,,,g,,,6000.0,,active
muz-yg18-brc-012,Bracelet yellow gold PL80,"<p>Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-YG18-BRC-012,100,shopify,1,deny,manual,3750.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL80-4.jpg,1,MUZEM Bracelet yellow gold PL80 - Colombian Emerald Natural in 18k Yellow Gold,FALSE,Bracelet yellow gold PL80 | Muzem Emeralds Colombia,Shop Bracelet yellow gold PL80 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-BRC-012,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Natural,Colombian,,,,g,,,3750.0,,active
muz-wg18-chn-013,Chain in white gold CD1401,"<p>Beautiful chain featuring a natural Colombian emerald set in White Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Chain,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-WG18-CHN-013,100,shopify,1,deny,manual,275.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/03/CD1401-2.jpg,1,MUZEM Chain in white gold CD1401 - Colombian Emerald Natural in White Gold,FALSE,Chain in white gold CD1401 | Muzem Emeralds Colombia,Shop Chain in white gold CD1401 at Muzem Emeralds. Certified Colombian emeralds in White Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-WG18-CHN-013,Chain,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,White Gold,Natural,Colombian,,,,g,,,275.0,,active
muz-wg18-chn-014,Chain in white gold CD1553,"<p>Beautiful chain featuring a natural Colombian emerald set in White Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Chain,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-WG18-CHN-014,100,shopify,1,deny,manual,375.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/03/CD1553-1.jpg,1,MUZEM Chain in white gold CD1553 - Colombian Emerald Natural in White Gold,FALSE,Chain in white gold CD1553 | Muzem Emeralds Colombia,Shop Chain in white gold CD1553 at Muzem Emeralds. Certified Colombian emeralds in White Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-WG18-CHN-014,Chain,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,White Gold,Natural,Colombian,,,,g,,,375.0,,active
muz-sv925-rng-015,Earrings in silver AR005,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-015,100,shopify,1,deny,manual,3000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/06/AR005-4.jpg,1,MUZEM Earrings in silver AR005 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR005 | Muzem Emeralds Colombia,Shop Earrings in silver AR005 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-015,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,3000.0,,active
muz-sv925-rng-016,Earrings in silver AR006,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-016,100,shopify,1,deny,manual,5000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/03/AR00-4.jpg,1,MUZEM Earrings in silver AR006 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR006 | Muzem Emeralds Colombia,Shop Earrings in silver AR006 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-016,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,5000.0,,active
muz-sv925-rng-017,Earrings in silver AR007,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-017,100,shopify,1,deny,manual,450.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/AR01-2.jpg,1,MUZEM Earrings in silver AR007 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR007 | Muzem Emeralds Colombia,Shop Earrings in silver AR007 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-017,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,450.0,,active
muz-sv925-rng-018,Earrings in silver AR008,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-018,100,shopify,1,deny,manual,450.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/AR02-4.jpg,1,MUZEM Earrings in silver AR008 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR008 | Muzem Emeralds Colombia,Shop Earrings in silver AR008 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-018,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,450.0,,active
muz-sv925-rng-019,Earrings in silver AR009,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-019,100,shopify,1,deny,manual,625.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/06/AR009-1.jpg,1,MUZEM Earrings in silver AR009 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR009 | Muzem Emeralds Colombia,Shop Earrings in silver AR009 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-019,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,625.0,,active
muz-sv925-rng-020,Earrings in silver AR010,"<p>Beautiful ring featuring a natural Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified",TRUE,Size,6,,,,,MUZ-SV925-RNG-020,100,shopify,1,deny,manual,625.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/06/AR010_8pwjpysqxja_2025-06-28-13-57-15.jpg,1,MUZEM Earrings in silver AR010 - Colombian Emerald Natural in Silver,FALSE,Earrings in silver AR010 | Muzem Emeralds Colombia,Shop Earrings in silver AR010 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-RNG-020,Ring,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Natural,Colombian,,,,g,,,625.0,,active
