product_id,title,url,meta_title,meta_description,og_title,og_type,og_url,og_image,og_description,og_site_name,og_price_amount,og_price_currency,og_availability,og_brand,twitter_card,twitter_site,twitter_title,twitter_description,twitter_image,twitter_label1,twitter_data1,twitter_label2,twitter_data2
MUZEM_093,White gold ring AN1375,https://muzem.co/en/shop/stones-and-their-shapes/heart/white-gold-ring-an1375/,White gold ring AN1375 | Muzem Emeralds,Shop White gold ring AN1375 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,White gold ring AN1375,product,https://muzem.co/en/shop/stones-and-their-shapes/heart/white-gold-ring-an1375/,https://muzem.co/wp-content/uploads/2025/03/AN1375-4.jpg,Shop White gold ring AN1375 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,Muzem Emeralds,2800000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1375,Shop White gold ring AN1375 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,https://muzem.co/wp-content/uploads/2025/03/AN1375-4.jpg,Price,"$2,800,000 COP",Availability,In Stock
MUZEM_094,White gold ring AN1513,https://muzem.co/en/shop/stones-and-their-shapes/heart/white-gold-ring-an1513/,White gold ring AN1513 | Muzem Emeralds,White gold ring AN1513 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN1513,product,https://muzem.co/en/shop/stones-and-their-shapes/heart/white-gold-ring-an1513/,https://muzem.co/wp-content/uploads/2025/03/AN1513_pf0nmvdmip_2025-03-25-14-05-58.jpg,White gold ring AN1513 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,6000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1513,White gold ring AN1513 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/03/AN1513_pf0nmvdmip_2025-03-25-14-05-58.jpg,Price,"$6,000,000 COP",Availability,In Stock
MUZEM_095,White gold ring AN1584,https://muzem.co/en/shop/stones-and-their-shapes/emerald/white-gold-ring-an1584/,White gold ring AN1584 | Muzem Emeralds,White gold ring AN1584 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN1584,product,https://muzem.co/en/shop/stones-and-their-shapes/emerald/white-gold-ring-an1584/,https://muzem.co/wp-content/uploads/2025/03/AN1584-1.jpg,White gold ring AN1584 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,14400000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1584,White gold ring AN1584 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/03/AN1584-1.jpg,Price,"$14,400,000 COP",Availability,In Stock
MUZEM_096,White gold ring AN1585,https://muzem.co/en/shop/stones-and-their-shapes/emerald/white-gold-ring-an1585/,White gold ring AN1585 | Muzem Emeralds,Discover White gold ring AN1585 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,White gold ring AN1585,product,https://muzem.co/en/shop/stones-and-their-shapes/emerald/white-gold-ring-an1585/,https://muzem.co/wp-content/uploads/2025/05/AN1585-1.jpg,Discover White gold ring AN1585 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,Muzem Emeralds,16000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1585,Discover White gold ring AN1585 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,https://muzem.co/wp-content/uploads/2025/05/AN1585-1.jpg,Price,"$16,000,000 COP",Availability,In Stock
MUZEM_097,White gold ring AN1593,https://muzem.co/en/shop/white-gold/white-gold-rings/white-gold-ring-an1593/,White gold ring AN1593 | Muzem Emeralds,Shop White gold ring AN1593 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,White gold ring AN1593,product,https://muzem.co/en/shop/white-gold/white-gold-rings/white-gold-ring-an1593/,https://muzem.co/wp-content/uploads/2025/03/AN1593-1.jpg,Shop White gold ring AN1593 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,Muzem Emeralds,36000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1593,Shop White gold ring AN1593 at Muzem Emeralds. Authentic Colombian emerald ring in White Gold. 4th generation family jewelry from Bogotá & Medellín.,https://muzem.co/wp-content/uploads/2025/03/AN1593-1.jpg,Price,"$36,000,000 COP",Availability,In Stock
MUZEM_098,White gold ring AN1633,https://muzem.co/en/shop/white-gold/white-gold-rings/white-gold-ring-an1633/,White gold ring AN1633 | Muzem Emeralds,White gold ring AN1633 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN1633,product,https://muzem.co/en/shop/white-gold/white-gold-rings/white-gold-ring-an1633/,https://muzem.co/wp-content/uploads/2025/03/AN1633-1.jpg,White gold ring AN1633 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,6800000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1633,White gold ring AN1633 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/03/AN1633-1.jpg,Price,"$6,800,000 COP",Availability,In Stock
MUZEM_099,White gold ring AN1675,https://muzem.co/en/shop/stones-and-their-shapes/cushion/white-gold-ring-an1675/,White gold ring AN1675 | Muzem Emeralds,White gold ring AN1675 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN1675,product,https://muzem.co/en/shop/stones-and-their-shapes/cushion/white-gold-ring-an1675/,https://muzem.co/wp-content/uploads/2025/06/AN1675-4.jpg,White gold ring AN1675 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,12800000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1675,White gold ring AN1675 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/06/AN1675-4.jpg,Price,"$12,800,000 COP",Availability,In Stock
MUZEM_100,White gold ring AN1677,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an1677/,White gold ring AN1677 | Muzem Emeralds,White gold ring AN1677 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN1677,product,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an1677/,https://muzem.co/wp-content/uploads/2025/06/AN1677-2.jpg,White gold ring AN1677 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,60000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN1677,White gold ring AN1677 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/06/AN1677-2.jpg,Price,"$60,000,000 COP",Availability,In Stock
MUZEM_101,White gold ring AN938 OB,https://muzem.co/en/shop/white-gold/white-gold-ring-an938-ob/,White gold ring AN938 OB | Muzem Emeralds,White gold ring AN938 OB - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,White gold ring AN938 OB,product,https://muzem.co/en/shop/white-gold/white-gold-ring-an938-ob/,https://muzem.co/wp-content/uploads/2025/08/AN938-1.jpg,White gold ring AN938 OB - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,Muzem Emeralds,6000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN938 OB,White gold ring AN938 OB - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted White Gold ring. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/08/AN938-1.jpg,Price,"$6,000,000 COP",Availability,In Stock
MUZEM_102,White gold ring AN947,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an947/,White gold ring AN947 | Muzem Emeralds,Discover White gold ring AN947 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,White gold ring AN947,product,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an947/,https://muzem.co/wp-content/uploads/2025/03/AN947-4.jpg,Discover White gold ring AN947 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,Muzem Emeralds,8000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,White gold ring AN947,Discover White gold ring AN947 - Certified Colombian emerald ring crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,https://muzem.co/wp-content/uploads/2025/03/AN947-4.jpg,Price,"$8,000,000 COP",Availability,In Stock
