sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-channel,product-tax-code,leadtime-to-ship,merchant-shipping-group
MUZ-YG18-RNG-026,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-027,,,1625.0,1462.5,2437.5,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-028,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-029,,,2500.0,2250.0,3750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-030,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-031,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-032,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-033,,,2450.0,2205.0,3675.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-034,,,7500.0,6750.0,11250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-035,,,8500.0,7650.0,12750.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-036,,,1625.0,1462.5,2437.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-037,,,875.0,787.5,1312.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-038,,,325.0,292.5,487.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-039,,,750.0,675.0,1125.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-040,,,300.0,270.0,450.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-041,,,450.0,405.0,675.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-042,,,450.0,405.0,675.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-043,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-044,,,1250.0,1125.0,1875.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-045,,,575.0,517.5,862.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
