product_id,title,jewelry_type,material,category,regular_price,sale_price,stock_status,url,image_url,seo_filename,local_image_path,scraped_at
MUZEM_100,White gold ring AN1677,Ring,White Gold,,100.000.000,100.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an1677/,https://muzem.co/wp-content/uploads/2025/06/AN1677-2.jpg,MUZEM_100_White_gold_ring_AN1677.jpg,/mnt/okcomputer/output/raw_images/MUZEM_100_White_gold_ring_AN1677.jpg,2026-02-22T02:01:25.821758
MUZEM_101,White gold ring AN938 OB,Ring,White Gold,White Gold,9.000.000,9.000.000.,In stock,https://muzem.co/en/shop/white-gold/white-gold-ring-an938-ob/,https://muzem.co/wp-content/uploads/2025/08/AN938-1.jpg,MUZEM_101_White_gold_ring_AN938_OB.jpg,/mnt/okcomputer/output/raw_images/MUZEM_101_White_gold_ring_AN938_OB.jpg,2026-02-22T02:01:25.821758
MUZEM_102,White gold ring AN947,Ring,White Gold,,10.000.000,10.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/white-gold-ring-an947/,https://muzem.co/wp-content/uploads/2025/03/AN947-4.jpg,MUZEM_102_White_gold_ring_AN947.jpg,/mnt/okcomputer/output/raw_images/MUZEM_102_White_gold_ring_AN947.jpg,2026-02-22T02:01:25.821758
MUZEM_103,White gold ring with Moissanite AN1673,Ring,White Gold,White Gold,9.000.000,9.000.000.,In stock,https://muzem.co/en/shop/white-gold/white-gold-rings/white-gold-ring-with-moissanite-an1673/,https://muzem.co/wp-content/uploads/2025/06/AN1673-4.jpg,MUZEM_103_White_gold_ring_with_Moissanite_AN1673.jpg,/mnt/okcomputer/output/raw_images/MUZEM_103_White_gold_ring_with_Moissanite_AN1673.jpg,2026-02-22T02:01:25.821758
MUZEM_104,Yellow gold bracelet PL122,Bracelet,18k Yellow Gold,Yellow Gold,15.000.000,15.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-bracelets/yellow-gold-bracelet-pl122/,https://muzem.co/wp-content/uploads/2025/03/PL122.6.jpg,MUZEM_104_Yellow_gold_bracelet_PL122.jpg,/mnt/okcomputer/output/raw_images/MUZEM_104_Yellow_gold_bracelet_PL122.jpg,2026-02-22T02:01:25.821758
MUZEM_105,Yellow gold bracelet PL98,Bracelet,18k Yellow Gold,,18.000.000,18.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/trapiche/yellow-gold-bracelet-pl98/,https://muzem.co/wp-content/uploads/2025/05/PL98-3.jpg,MUZEM_105_Yellow_gold_bracelet_PL98.jpg,/mnt/okcomputer/output/raw_images/MUZEM_105_Yellow_gold_bracelet_PL98.jpg,2026-02-22T02:01:25.821758
MUZEM_106,Yellow gold earrings AR12 GH,Ring,18k Yellow Gold,,5.000.000,5.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/yellow-gold-earrings-ar12-gh/,https://muzem.co/wp-content/uploads/2025/07/AR12-GH-1.jpg,MUZEM_106_Yellow_gold_earrings_AR12_GH.jpg,/mnt/okcomputer/output/raw_images/MUZEM_106_Yellow_gold_earrings_AR12_GH.jpg,2026-02-22T02:01:25.821758
MUZEM_107,Yellow gold earrings AR2698,Ring,18k Yellow Gold,,8.000.000,8.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/oval/yellow-gold-earrings-ar2698/,https://muzem.co/wp-content/uploads/2025/04/AR2698-4.jpg,MUZEM_107_Yellow_gold_earrings_AR2698.jpg,/mnt/okcomputer/output/raw_images/MUZEM_107_Yellow_gold_earrings_AR2698.jpg,2026-02-22T02:01:25.821758
MUZEM_108,Yellow gold earrings AR2717,Ring,18k Yellow Gold,,10.000.000,10.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/oval/yellow-gold-earrings-ar2717/,https://muzem.co/wp-content/uploads/2025/04/AR2717.1.jpg,MUZEM_108_Yellow_gold_earrings_AR2717.jpg,/mnt/okcomputer/output/raw_images/MUZEM_108_Yellow_gold_earrings_AR2717.jpg,2026-02-22T02:01:25.821758
MUZEM_109,Yellow gold earrings AR2766,Ring,18k Yellow Gold,,17.000.000,17.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/yellow-gold-earrings-ar2766/,https://muzem.co/wp-content/uploads/2025/05/AR2766-3.jpg,MUZEM_109_Yellow_gold_earrings_AR2766.jpg,/mnt/okcomputer/output/raw_images/MUZEM_109_Yellow_gold_earrings_AR2766.jpg,2026-02-22T02:01:25.821758
MUZEM_110,Yellow gold earrings AR2890,Ring,18k Yellow Gold,,19.000.000,19.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/marquise/yellow-gold-earrings-ar2890/,https://muzem.co/wp-content/uploads/2025/06/AR2890_hxtf9vr7jh_2025-06-17-16-34-12.jpg,MUZEM_110_Yellow_gold_earrings_AR2890.jpg,/mnt/okcomputer/output/raw_images/MUZEM_110_Yellow_gold_earrings_AR2890.jpg,2026-02-22T02:01:25.821758
MUZEM_111,Yellow gold earrings DJ2414,Ring,18k Yellow Gold,,16.000.000,16.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/emerald/yellow-gold-earrings-dj2414/,https://muzem.co/wp-content/uploads/2025/03/AR2414-1.jpg,MUZEM_111_Yellow_gold_earrings_DJ2414.jpg,/mnt/okcomputer/output/raw_images/MUZEM_111_Yellow_gold_earrings_DJ2414.jpg,2026-02-22T02:01:25.821758
MUZEM_112,Yellow gold pendant,Ring,18k Yellow Gold,,7.000.000,7.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/trapiche/yellow-gold-pendant/,https://muzem.co/wp-content/uploads/2025/05/Set01D-4.jpg,MUZEM_112_Yellow_gold_pendant.jpg,/mnt/okcomputer/output/raw_images/MUZEM_112_Yellow_gold_pendant.jpg,2026-02-22T02:01:25.821758
